INTERSECTION,FIRST APPROACH,SECOND APPROACH,THIRD APPROACH,GO LIVE DATE,LATITUDE,LONGITUDE,LOCATION
Damen-Fullerton,EB,,,02/17/2006,41.92499,-87.6779,"(41.92499, -87.6779)"
Narragansett-Irving Park,EB,WB,,10/13/2004,41.95291,-87.78655,"(41.95291, -87.78655)"
Western-Madison,NB,WB,,05/31/2004,41.88116,-87.68643,"(41.88116, -87.68643)"
Cicero-Peterson,SB,WB,,08/25/2008,41.98989,-87.74832,"(41.98989, -87.74832)"
California-Diversey,NB,WB,EB,01/30/2006,41.93209,-87.69761,"(41.93209, -87.69761)"
Western-Devon,NB,SB,,07/30/2008,41.99773,-87.68988,"(41.99773, -87.68988)"
Pulaski-Foster,SB,WB,,10/17/2007,41.97553,-87.72823,"(41.97553, -87.72823)"
Cicero-Chicago,NB,EB,,10/04/2007,41.895,-87.7458,"(41.895, -87.7458)"
Western-Lawrence,SB,EB,,07/30/2008,41.96861,-87.6889,"(41.96861, -87.6889)"
Western-47th,SB,NB,,11/28/2004,41.80842,-87.68442,"(41.80842, -87.68442)"
Broadway-Foster,NB,EB,,10/17/2007,41.97632,-87.65986,"(41.97632, -87.65986)"
Northwest Hwy-Foster,SB,EB,,07/09/2017,41.9757,-87.7693,"(41.9757, -87.7693)"
Lafayette-87th,SB,EB,,08/30/2009,41.73627,-87.62544,"(41.73627, -87.62544)"
Vincennes-87th,SB,EB,,11/10/2004,41.73605,-87.64517,"(41.73605, -87.64517)"
State-63rd,SB,WB,,01/17/2006,41.78005,-87.62537,"(41.78005, -87.62537)"
Halsted-95th,NB,SB,,04/29/2008,41.72145,-87.64321,"(41.72145, -87.64321)"
Milwaukee-Devon,SB,WB,,02/27/2009,41.9974,-87.7879,"(41.9974, -87.7879)"
Pulaski-Irving Park,SB,WB,,05/18/2009,41.95364,-87.72761,"(41.95364, -87.72761)"
State-79th,WB,NB,,06/25/2009,41.75095,-87.62454,"(41.75095, -87.62454)"
Hamlin-Madison,NB,EB,,04/28/2009,41.88078,-87.72075,"(41.88078, -87.72075)"
Cottage Grove-71st-South Chicago,NB,SB,,04/29/2008,41.76586,-87.60558,"(41.76586, -87.60558)"
Damen-Diversey-Clybourn,SB,WB,,06/29/2008,41.93228,-87.67813,"(41.93228, -87.67813)"
