ID,LOCATION ID,ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,LATITUDE,LONGITUDE,LOCATION
195,CHI015,3450 W 71st St,WB,EB,09/06/2013,41.7644,-87.7097,"(41.7644, -87.7097)"
232,CHI039,6247 W Fullerton Ave,EB,,12/21/2013,41.9236,-87.7825,"(41.9236, -87.7825)"
233,CHI040,6250 W Fullerton Ave,WB,,12/21/2013,41.9238,-87.7826,"(41.9238, -87.7826)"
227,CHI041,5509 W Fullerton Ave,EB,,12/12/2013,41.9239,-87.7639,"(41.9239, -87.7639)"
226,CHI042,5446 W Fullerton Ave,WB,,12/12/2013,41.9241,-87.763,"(41.9241, -87.763)"
243,CHI044,4843 W Fullerton Ave,EB,WB,01/13/2014,41.9241,-87.748,"(41.9241, -87.748)"
213,CHI051,6523 N Western Ave,NB,SB,11/10/2013,42.0003,-87.6898,"(42.0003, -87.6898)"
239,CHI055,4433 N Western Ave,NB,,01/04/2014,41.9623,-87.6886,"(41.9623, -87.6886)"
228,CHI064,7739 S Western Ave,NB,,12/18/2013,41.7526,-87.6828,"(41.7526, -87.6828)"
229,CHI065,7738 S Western Ave,SB,,12/18/2013,41.75269,-87.6831,"(41.75269, -87.6831)"
231,CHI067,2550 W 79th St,WB,,12/18/2013,41.7502,-87.6874,"(41.7502, -87.6874)"
217,CHI068,5529 S Western Ave,SB,,11/23/2013,41.79249,-87.6839,"(41.79249, -87.6839)"
303,CHI071,7833 S Pulaski Rd,NB,,02/14/2014,41.7504,-87.7218,"(41.7504, -87.7218)"
304,CHI072,7826 S Pulaski Rd,SB,,02/14/2014,41.7505,-87.7221,"(41.7505, -87.7221)"
263,CHI074,3832 W 79th St,WB,,02/10/2014,41.74969,-87.7196,"(41.74969, -87.7196)"
246,CHI077,115 N Ogden Ave,NB,SB,01/25/2014,41.8832,-87.6641,"(41.8832, -87.6641)"
214,CHI078,2721 W Montrose Ave,EB,WB,11/15/2013,41.9611,-87.697,"(41.9611, -87.697)"
215,CHI079,2705 W Irving Park Ave,EB,,11/15/2013,41.9539,-87.6962,"(41.9539, -87.6962)"
216,CHI080,2712 W Irving Park Ave,WB,,11/15/2013,41.9541,-87.6966,"(41.9541, -87.6966)"
218,CHI069,5520 S Western Ave,NB,,11/23/2013,41.7928,-87.6842,"(41.7928, -87.6842)"
307,CHI135,2108 S Western Ave,SB,,04/25/2014,41.8536,-87.6858,"(41.8536, -87.6858)"
310,CHI136,346 W 76th St,WB,,04/30/2014,41.7564,-87.6338,"(41.7564, -87.6338)"
311,CHI137,341 W 76th St,EB,,04/30/2014,41.7561,-87.6336,"(41.7561, -87.6336)"
316,CHI140,3535 E 95th St,EB,,06/30/2014,41.7228,-87.5376,"(41.7228, -87.5376)"
